,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI Lens,Mobile Height,Processor,Price
332,Tecno Spark 9T,Turquoise Cyan,64,4,5000,50,8,0,16.76,MediaTek Helio G35,9290
333,POCO M4 Pro 5G,Yellow,64,4,5000,50,16,0,16.76,Mediatek Dimensity 810,14999
334,Tecno Spark 9T,Iris Purple,64,4,5000,50,8,0,16.76,MediaTek Helio G35,8449
335,Infinix Zero 5G 2023 TURBO,Pearly White,256,8,5000,50,16,0,17.22,Mediatek Dimensity 1080,17999
336,Tecno Spark 9T,Tahiti Gold,64,4,5000,50,8,0,16.76,MediaTek Helio G35,8495
337,Infinix Zero 5G 2023 TURBO,Submariner Black,256,8,5000,50,16,0,17.22,Mediatek Dimensity 1080,17999
338,I Kall Z19Pro,Blue,64,4,5000,13,8,0,16.51,Octa Core,7999
339,vivo Y16,Steller Black,64,4,5000,13,5,0,16.54,Mediatek Helio P35,11999
340,vivo Y16,Drizzling Gold,64,3,5000,13,5,0,16.54,Mediatek Helio P35,10499
341,vivo Y16,Steller Black,128,4,5000,13,5,0,16.54,Mediatek Helio P35,12999
342,nothing phone 1,Black,128,8,4500,50,16,0,16.64,Qualcomm Snapdragon 778G+,29499
343,REDMI K50i 5G,Stealth Black,128,6,5080,64,16,0,16.76,Dimensity 8100,20998
344,Tecno Spark 9T,Turquoise Cyan,64,4,5000,50,8,0,16.76,MediaTek Helio G35,9290
345,REDMI K50i 5G,Quick Silver,256,8,5080,64,16,0,16.76,Dimensity 8100,23999
346,OPPO A78 5G,Glowing Black,128,8,5000,13,5,0,16.66,Android,19280
347,Tecno Spark 9T,Atlantic Blue,64,4,5000,50,8,0,16.76,MediaTek Helio G35,8649
348,Infinix Zero 5G 2023 TURBO,Coral Orange,256,8,5000,50,16,0,17.22,Mediatek Dimensity 1080,17999
349,vivo Y16,Steller Black,64,3,5000,13,5,0,16.54,Mediatek Helio P35,10999
350,POCO X4 Pro 5G,Laser Black,128,8,5000,64,16,0,16.94,Qualcomm Snapdragon 695 5G,19499
351,realme Narzo 50i,Carbon Black,64,4,5000,8,5,0,16.51,SC9863A,9349
352,POCO X4 Pro 5G,Laser Black,128,8,5000,64,16,0,16.94,Qualcomm Snapdragon 695 5G,19499
353,Tecno Spark Go 2023,Endless Black,64,4,5000,13,5,0,16.66,"2GHz, Quad Core ",8288
355,Tecno Spark Go 2023,Endless Black,32,3,5000,13,5,0,16.66,"2GHz, Quad Core ",6794
356,SAMSUNG Galaxy A23 5G,Light Blue,128,6,5000,50,8,0,16.76,Qualcomm Snapdragon 695 (SM6375),21999
357,SAMSUNG Galaxy A14 5G,Dark Red,128,6,5000,50,13,0,16.76,SEC S5E8535 (Exynos 1330),18999
359,realme C35,Glowing Black,64,4,5000,50,8,0,16.76,Unisoc Tiger T616,9699
360,realme C35,Glowing Black,128,4,5000,50,8,0,16.76,Unisoc Tiger T616,10699
361,MOTOROLA g22,Cosmic Black,64,4,5000,50,16,0,16.51,Mediatek Helio G37,10999
362,itel A60,VertMenthe,32,2,5000,8,5,0,16.76,Unisoc,5999
363,vivo Y16,Drizzling Gold,64,4,5000,13,5,0,16.54,Mediatek Helio P35,11999
366,SAMSUNG Galaxy A23 5G,Orange,128,6,5000,50,8,0,16.76,Qualcomm Snapdragon 695 (SM6375),21999
367,itel A60,SapphireBlack,32,2,5000,8,5,0,16.76,Unisoc,5990
368,itel A60,DawnBlue,32,2,5000,8,5,0,16.76,Unisoc,5999
369,REDMI K50i 5G,Phantom Blue,128,6,5080,64,16,0,16.76,Dimensity 8100,21499
370,POCO M4 Pro 5G,Cool Blue,128,8,5000,50,16,0,16.76,Mediatek Dimensity 810,15999
371,MOTOROLA G42,Metallic Rose,64,4,5000,50,16,0,16.43,Qualcomm Snapdragon 680,11980
372,Infinix Smart 6,Starry Purple,64,2,5000,8,5,0,16.76,Mediatek Helio A22,6999
373,Infinix Smart 6,Heart Of Ocean,64,2,5000,8,5,0,16.76,Mediatek Helio A22,6999
374,Infinix Smart 6,Light Sea Green,64,2,5000,8,5,0,16.76,Mediatek Helio A22,6999
375,Infinix Smart 6,Polar Black,64,2,5000,8,5,0,16.76,Mediatek Helio A22,6999
376,realme 10 Pro+ 5G,Nebula Blue,128,8,5000,108,16,0,17.02,Mediatek Dimensity 1080 5G,23999
377,realme 9i,Prism Blue,64,4,5000,50,16,0,16.76,Qualcomm Snapdragon 680 (SM6225),11999
378,realme 9i,Prism Black,128,4,5000,50,16,0,16.76,Qualcomm Snapdragon 680 (SM6225),13499
379,SAMSUNG Galaxy A14 5G,Light Green,64,4,5000,50,13,0,16.76,SEC S5E8535 (Exynos 1330),16499
380,SAMSUNG Galaxy A34 5G,Awesome Graphite,256,8,5000,48,13,0,16.76,"Dimensity 1080, Octa Core ",32999
381,realme Narzo N55,Prime Blue,64,4,5000,64,8,0,17.07,Mediatek Helio G88,11349
382,SAMSUNG Galaxy A34 5G,Awesome Silver,128,8,5000,48,13,0,16.76,"Dimensity 1080, Octa Core ",30999
383,OPPO A17k,Navy Blue,64,3,5000,8,5,0,16.66,Mediatek Helio P35,9499
384,OPPO A17K,Navy Blue,64,3,5000,8,5,0,16.66,Mediatek Helio G35,9790
385,OPPO A17k,Gold,64,3,5000,8,5,0,16.66,Mediatek Helio P35,9499
387,realme 10 Pro+ 5G,Dark Matter,128,8,5000,108,16,0,17.02,Mediatek Dimensity 1080 5G,23999
388,realme 10 Pro+ 5G,Hyperspace,128,8,5000,108,16,0,17.02,Mediatek Dimensity 1080 5G,23999
389,realme 10 Pro+ 5G,Nebula Blue,128,6,5000,108,16,0,17.02,Mediatek Dimensity 1080 5G,22999
390,realme 10 Pro+ 5G,Hyperspace,128,6,5000,108,16,0,17.02,Mediatek Dimensity 1080 5G,22999
391,realme 10 Pro+ 5G,Dark Matter,128,6,5000,108,16,0,17.02,Mediatek Dimensity 1080 5G,22999
392,POCO M4 Pro,Power Black,128,8,5000,64,16,0,16.33,Mediatek Helio G96,13999
395,SAMSUNG Galaxy M04,Dark Blue,128,4,5000,13,5,0,16.51,MediaTek Helio P35,9104
397,REDMI 9 Activ,Carbon Black,128,6,5000,13,5,0,16.59,Mediatek Helio G35,9499
398,OPPO A77s,Sunset Orange,128,8,5000,50,8,0,16.66,Qualcomm Snapdragon 680,16499
399,realme C30s,Stripe Blue,32,2,5000,8,5,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,6999
401,SAMSUNG Galaxy A23 5G,Silver,128,6,5000,50,8,0,16.76,Qualcomm Snapdragon 695 (SM6375),21999
402,SAMSUNG Galaxy A14 5G,Dark Red,128,8,5000,50,13,0,16.76,SEC S5E8535 (Exynos 1330),20999
403,SAMSUNG Galaxy A34 5G,Awesome Graphite,128,8,5000,48,13,0,16.76,"Dimensity 1080, Octa Core ",30999
404,IQOO Neo 7 5G,Frost Blue,128,8,5000,64,16,0,17.22,Snapdragon 8 Gen 1,30385
405,vivo Y56 5G,Black Engine,128,8,5000,50,16,0,16.71,Mediatek Dimensity 700,19999
408,POCO F5 5G,Electric Blue,256,4,5000,64,16,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999
410,realme C30s,Stripe Black,32,2,5000,8,5,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,6999
411,POCO X4 Pro 5G,Laser Blue,128,8,5000,64,16,0,16.94,Qualcomm Snapdragon 695 5G,19499
412,realme Narzo 50A Prime,Flash Blue,128,4,5000,50,8,0,16.76,Unisoc T612,12900
413,SAMSUNG Galaxy A14 5G,Black,64,4,5000,50,13,0,16.76,SEC S5E8535 (Exynos 1330),16499
414,Tecno Spark 9,Sky Mirror,64,3,5000,13,8,0,16.76,MediaTek Helio G37,8990
